iter	Passed	Remaining
0	194	194500
1	200	100174
2	206	68506
3	210	52479
4	216	43043
5	221	36650
6	226	32182
7	232	28796
8	238	26225
9	243	24155
10	249	22447
11	255	21006
12	261	19817
13	267	18811
14	272	17916
15	278	17135
16	283	16394
17	288	15765
18	293	15171
19	298	14622
20	303	14154
21	308	13729
22	313	13325
23	318	12939
24	323	12619
25	327	12285
26	333	12001
27	337	11716
28	342	11464
29	347	11224
30	352	11029
31	357	10817
32	363	10645
33	368	10473
34	373	10285
35	379	10157
36	384	9997
37	388	9845
38	394	9714
39	399	9584
40	402	9424
41	406	9265
42	409	9117
43	411	8950
44	414	8789
45	416	8634
46	418	8477
47	419	8325
48	421	8183
49	423	8047
50	425	7913
51	426	7779
52	428	7654
53	430	7535
54	431	7416
55	433	7299
56	434	7187
57	436	7085
58	437	6982
59	439	6885
60	440	6788
61	442	6693
62	444	6603
63	445	6515
64	446	6429
65	448	6345
66	449	6263
67	451	6194
68	453	6119
69	455	6049
70	456	5976
71	458	5904
72	459	5835
73	460	5767
74	462	5703
75	463	5639
76	465	5578
77	467	5523
78	468	5466
79	470	5410
80	471	5353
81	473	5299
82	474	5238
83	475	5186
84	477	5135
85	478	5085
86	485	5094
87	491	5098
88	499	5113
89	505	5114
90	511	5112
91	517	5110
92	524	5110
93	529	5105
94	535	5100
95	541	5097
96	546	5089
97	552	5084
98	557	5074
99	562	5065
100	570	5078
101	576	5072
102	583	5081
103	588	5071
104	595	5074
105	601	5069
106	606	5059
107	612	5058
108	617	5047
109	622	5035
110	628	5030
111	633	5024
112	638	5010
113	642	4990
114	645	4964
115	647	4933
116	649	4899
117	651	4869
118	653	4839
119	655	4808
120	657	4778
121	659	4745
122	661	4714
123	662	4683
124	664	4651
125	666	4622
126	667	4589
127	669	4558
128	671	4533
129	672	4503
130	674	4474
131	675	4444
132	677	4416
133	678	4388
134	680	4360
135	681	4332
136	683	4305
137	685	4281
138	687	4257
139	688	4232
140	690	4206
141	691	4178
142	692	4153
143	694	4128
144	695	4103
145	697	4080
146	699	4057
147	701	4036
148	702	4014
149	704	3991
150	705	3968
151	707	3946
152	708	3924
153	710	3902
154	711	3881
155	713	3860
156	716	3844
157	717	3825
158	719	3807
159	721	3788
160	722	3767
161	725	3750
162	726	3731
163	728	3712
164	729	3694
165	731	3675
166	733	3658
167	734	3639
168	736	3621
169	738	3603
170	739	3585
171	741	3567
172	742	3549
173	744	3534
174	746	3516
175	747	3500
176	749	3484
177	751	3468
178	752	3452
179	754	3435
180	755	3420
181	757	3404
182	759	3392
183	761	3377
184	763	3361
185	764	3346
186	766	3330
187	767	3315
188	769	3300
189	770	3285
190	772	3270
191	773	3257
192	775	3243
193	777	3229
194	779	3215
195	780	3201
196	782	3187
197	783	3174
198	785	3160
199	786	3146
200	788	3134
201	790	3122
202	792	3111
203	793	3098
204	795	3084
205	797	3072
206	798	3058
207	800	3046
208	801	3034
209	804	3024
210	805	3013
211	807	3002
212	809	2989
213	810	2977
214	812	2966
215	814	2955
216	815	2943
217	817	2931
218	819	2921
219	820	2909
220	822	2899
221	824	2888
222	825	2877
223	827	2866
224	828	2855
225	830	2844
226	831	2833
227	833	2823
228	835	2812
229	837	2802
230	838	2791
231	840	2782
232	842	2772
233	843	2762
234	845	2752
235	847	2742
236	849	2733
237	850	2724
238	852	2715
239	854	2706
240	856	2696
241	857	2686
242	859	2677
243	860	2667
244	862	2658
245	864	2649
246	865	2639
247	867	2629
248	868	2619
249	870	2610
250	871	2601
251	873	2591
252	874	2582
253	876	2573
254	878	2566
255	879	2557
256	881	2548
257	882	2538
258	884	2529
259	885	2520
260	887	2511
261	888	2503
262	890	2494
263	892	2486
264	893	2479
265	899	2481
266	906	2487
267	911	2488
268	916	2491
269	922	2495
270	928	2497
271	933	2498
272	938	2500
273	944	2502
274	950	2506
275	956	2508
276	961	2509
277	966	2509
278	970	2509
279	975	2508
280	980	2508
281	984	2507
282	989	2506
283	993	2505
284	998	2505
285	1003	2505
286	1008	2506
287	1014	2507
288	1018	2506
289	1024	2507
290	1029	2507
291	1034	2507
292	1041	2513
293	1046	2512
294	1050	2510
295	1055	2511
296	1060	2511
297	1065	2509
298	1070	2509
299	1075	2508
300	1080	2508
301	1085	2508
302	1090	2507
303	1094	2506
304	1099	2506
305	1105	2506
306	1109	2503
307	1112	2498
308	1115	2494
309	1118	2489
310	1121	2483
311	1123	2477
312	1126	2472
313	1129	2467
314	1132	2462
315	1135	2458
316	1138	2453
317	1141	2448
318	1144	2444
319	1148	2439
320	1150	2434
321	1153	2429
322	1156	2423
323	1159	2419
324	1162	2414
325	1165	2409
326	1168	2405
327	1171	2400
328	1175	2396
329	1178	2392
330	1181	2388
331	1184	2383
332	1187	2378
333	1190	2374
334	1193	2368
335	1195	2362
336	1197	2355
337	1199	2348
338	1201	2342
339	1203	2335
340	1205	2328
341	1206	2321
342	1208	2314
343	1209	2306
344	1211	2300
345	1213	2293
346	1214	2285
347	1216	2278
348	1217	2271
349	1219	2265
350	1221	2258
351	1222	2251
352	1224	2244
353	1225	2237
354	1227	2230
355	1228	2223
356	1230	2216
357	1232	2209
358	1234	2203
359	1235	2197
360	1237	2190
361	1238	2183
362	1240	2176
363	1241	2169
364	1243	2163
365	1244	2156
366	1246	2149
367	1248	2143
368	1249	2137
369	1251	2131
370	1253	2124
371	1254	2118
372	1256	2111
373	1257	2105
374	1259	2098
375	1260	2092
376	1262	2086
377	1264	2080
378	1265	2073
379	1267	2067
380	1268	2061
381	1270	2055
382	1271	2048
383	1273	2042
384	1274	2036
385	1276	2030
386	1278	2024
387	1280	2019
388	1281	2012
389	1283	2007
390	1284	2001
391	1286	1995
392	1287	1989
393	1289	1983
394	1290	1977
395	1292	1971
396	1294	1965
397	1295	1959
398	1297	1954
399	1299	1949
400	1300	1943
401	1302	1937
402	1303	1931
403	1305	1925
404	1307	1920
405	1308	1914
406	1310	1909
407	1312	1903
408	1313	1898
409	1315	1892
410	1316	1886
411	1318	1881
412	1319	1875
413	1321	1870
414	1323	1865
415	1324	1859
416	1326	1854
417	1327	1848
418	1329	1843
419	1331	1838
420	1332	1832
421	1334	1827
422	1335	1822
423	1337	1817
424	1339	1812
425	1341	1807
426	1342	1801
427	1344	1796
428	1345	1790
429	1347	1785
430	1348	1780
431	1350	1775
432	1352	1770
433	1353	1765
434	1355	1760
435	1356	1754
436	1358	1749
437	1359	1744
438	1361	1739
439	1362	1734
440	1363	1728
441	1365	1723
442	1367	1719
443	1369	1714
444	1370	1709
445	1372	1704
446	1373	1699
447	1375	1694
448	1376	1689
449	1377	1684
450	1380	1680
451	1382	1676
452	1384	1671
453	1385	1666
454	1387	1661
